ContactId,ClientId,Client,ProductId,ProductType,EffectiveDate,ExpireDate,Total
Member 1,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x3D5A19AE11AFFDB22AD9FFDD548D2E9F,Subscription,2021-06-23,2021-12-22,518.4
Member 2,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x3D5A19AE11AFFDB22AD9FFDD548D2E9F,Subscription,2021-06-23,2021-12-22,376.65
Member 3,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x5DC2BF4201BAA480B8B9E34BD2E8CC2E,Subscription,2021-03-10,2021-09-09,149.85
Member 4,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x3D86FFF3CCD71A7D8C33069E4FF64A97,Subscription,2021-03-12,2021-09-11,185.49
Member 5,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x5DC2BF4201BAA480B8B9E34BD2E8CC2E,Subscription,2021-02-28,2021-08-27,109.35
Member 6,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x3D86FFF3CCD71A7D8C33069E4FF64A97,Subscription,2021-02-04,2021-08-03,206.55
Member 7,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x3D86FFF3CCD71A7D8C33069E4FF64A97,Subscription,2020-10-02,2021-04-01,206.55
Member 8,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0xC26C28C3E5CE081CD77B28FAD9884A8C,Subscription,2020-12-04,2021-06-03,265.68
Member 9,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0xC26C28C3E5CE081CD77B28FAD9884A8C,Subscription,2021-02-18,2021-08-17,295.65
Member 10,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0xC26C28C3E5CE081CD77B28FAD9884A8C,Subscription,2021-06-18,2021-12-17,265.68
Member 11,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0xA48C99389C71BCA7CB609C7C6B23879D,Subscription,2021-06-01,2021-11-30,396.9
Member 12,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x3D5A19AE11AFFDB22AD9FFDD548D2E9F,Subscription,2021-07-06,2022-01-05,376.65
Member 13,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0xA48C99389C71BCA7CB609C7C6B23879D,Subscription,2021-07-09,2022-01-08,441.45
Member 14,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x3D86FFF3CCD71A7D8C33069E4FF64A97,Subscription,2021-02-15,2021-08-14,206.55
Member 4,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0xA48C99389C71BCA7CB609C7C6B23879D,Subscription,2021-03-12,2021-09-11,396.9
Member 15,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x3D5A19AE11AFFDB22AD9FFDD548D2E9F,Subscription,2021-04-12,2021-10-11,376.65
Member 16,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x0E4F1FAD670B63A41B47EE1A276B73AA,Subscription,2021-04-18,2021-10-17,295.65
Member 17,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0xA6F931D5504D9042C1469EC6A1B4D37E,Subscription,2021-06-30,2022-06-29,16.2
Member 18,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x0E4F1FAD670B63A41B47EE1A276B73AA,Subscription,2021-05-16,2021-11-15,295.65
Member 19,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x3D5A19AE11AFFDB22AD9FFDD548D2E9F,Subscription,2021-06-29,2021-12-28,376.65
Member 20,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0xA48C99389C71BCA7CB609C7C6B23879D,Subscription,2021-03-01,2021-08-31,396.9
Member 21,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0xC26C28C3E5CE081CD77B28FAD9884A8C,Subscription,2021-04-15,2021-10-14,265.68
Member 22,0x69CB4E2FB587F20F7AF21D60E989ADAB,NAIOP,0x0E4F1FAD670B63A41B47EE1A276B73AA,Subscription,2021-06-16,2021-12-15,295.65
